model_id,month,mae_kgal,rmse_kgal,bias_kgal
mean_curve,1,1.701280227596017,2.1274236382869653,5.843279076974508e-17
mean_curve,2,1.5803698435277382,2.0922829441039896,4.674623261579606e-17
mean_curve,3,1.852062588904694,2.4497879337566837,4.674623261579606e-17
mean_curve,4,1.6500711237553343,2.143841298924534,-2.337311630789803e-17
mean_curve,5,1.8435277382645803,2.3493312229298087,2.337311630789803e-17
mean_curve,6,3.6500711237553345,5.605030089861623,4.674623261579606e-17
mean_curve,7,7.467994310099575,11.629444256000935,0.0
mean_curve,8,9.06827880512091,13.359364047097374,4.674623261579606e-17
mean_curve,9,9.23470839260313,14.363231200486426,-9.349246523159212e-17
mean_curve,10,6.061166429587483,9.522147494895055,-4.674623261579606e-17
mean_curve,11,1.9231863442389758,2.375305139753495,0.0
mean_curve,12,1.9544807965860596,2.5012779786864545,0.0
class_area_nnls,1,1.801162457116759,2.2351052495783903,-0.17319876712580176
class_area_nnls,2,1.7375125109879428,2.2612608075873575,-0.1618312227088711
class_area_nnls,3,1.8702016337734286,2.5670148372806176,-0.19664195062966658
class_area_nnls,4,1.785301869358855,2.2745060584290773,-0.16433586793012986
class_area_nnls,5,1.9579214204842648,2.5056554984664037,-0.20281976667652546
class_area_nnls,6,3.518678071422705,5.4951896955944495,-0.14891226179899547
class_area_nnls,7,6.26039035677002,10.58363704632475,-0.16579841248386948
class_area_nnls,8,7.719241556017489,12.770346857205267,-0.3616566638416159
class_area_nnls,9,8.491757310304974,14.466626508291387,-0.28713110199131325
class_area_nnls,10,5.476460956627346,9.778337098614017,-0.2522410246865886
class_area_nnls,11,1.9767266755637622,2.526300586148645,-0.21873126966131928
class_area_nnls,12,1.9744812802445153,2.6643203739279047,-0.20070376349881458
proportion_multioutput_rf,1,1.8315453216374262,2.2133323587366847,-0.035759222189673784
proportion_multioutput_rf,2,1.7427215047901132,2.2207677060633766,-0.005345057720057918
proportion_multioutput_rf,3,1.8649016127982285,2.471658548255748,-0.07451014169623212
proportion_multioutput_rf,4,1.8067769315062552,2.2513182202896056,-0.01082234265316941
proportion_multioutput_rf,5,1.957209220290988,2.446425822000138,-0.0065484639629378215
proportion_multioutput_rf,6,3.7650544895789264,5.623634650774865,0.28729125031192754
proportion_multioutput_rf,7,7.407672716694332,10.788453953473981,0.7853216767568261
proportion_multioutput_rf,8,8.90563827724072,12.915661291943051,0.832763088728315
proportion_multioutput_rf,9,9.410858390565156,14.581755779713085,0.6889628481376584
proportion_multioutput_rf,10,5.861721331195955,9.785930496824061,0.35525915573565936
proportion_multioutput_rf,11,1.922487691089195,2.446543861442993,-0.010545628139612514
proportion_multioutput_rf,12,2.0220375966973716,2.5873045881052303,0.010474592867450047
landsat_class_month_nnls,1,1.8670060366884738,2.459309057786484,0.18991699200660628
landsat_class_month_nnls,2,1.8933900498099108,2.5095592226257124,0.14570448921122783
landsat_class_month_nnls,3,2.325911502989885,3.022316051856827,0.27145842780357055
landsat_class_month_nnls,4,1.9258929081076435,2.5124954277204377,0.17835191331562592
landsat_class_month_nnls,5,2.0218272185446384,2.710842183291758,0.16801111037461786
landsat_class_month_nnls,6,4.3037851938205165,6.345538801704493,0.6132113691755015
landsat_class_month_nnls,7,6.391599315594612,10.80989650461169,0.7379189224949719
landsat_class_month_nnls,8,7.397926129912037,12.482851480752824,-0.10164067468555525
landsat_class_month_nnls,9,8.075953327433796,14.264956138897576,-0.8699093894591241
landsat_class_month_nnls,10,5.155352848183842,9.51271684387632,-0.7631405844688564
landsat_class_month_nnls,11,2.3163824382113147,2.8680683488508234,0.16691108122298404
landsat_class_month_nnls,12,2.291339377882392,2.9866381320024105,0.14039759751818146
