model_a,model_b,mean_parcel_monthly_mae_difference_a_minus_b,median_difference,bootstrap_p025,bootstrap_p975,parcels_a_better,parcels_b_better,ties
mean_curve,class_area_nnls,0.28478013544731395,0.30804119036714717,-0.04229705650406263,0.6225197693423593,14,24,0
mean_curve,annual_class_area_common_shape,0.2694350663975329,0.17347430171880696,-0.03966675933895174,0.6101636174956345,14,24,0
mean_curve,seasonally_regularized_class_area,0.33171074576047943,0.3637851657042934,0.054599380914975355,0.6466706900450321,13,25,0
class_area_nnls,annual_class_area_common_shape,-0.015345069049781074,-0.029193841411202293,-0.13223123008773205,0.11450387842673931,24,14,0
class_area_nnls,seasonally_regularized_class_area,0.04693061031316543,0.05465733094071701,-0.013144931026279979,0.1079989647798321,13,25,0
annual_class_area_common_shape,seasonally_regularized_class_area,0.06227567936294651,0.09964803086874174,-0.04473974708208488,0.16204700085733606,12,26,0
