model_a,model_b,mean_parcel_monthly_mae_difference_a_minus_b,median_difference,bootstrap_p025,bootstrap_p975,parcels_a_better,parcels_b_better,ties
mean_curve,class_area_nnls,0.28478013544731395,0.30804119036714717,-0.04229705650406263,0.6225197693423593,14,24,0
mean_curve,proportion_multioutput_rf,-0.0426189466704031,0.1418380651059219,-0.3382235008233652,0.22659477616645807,17,21,0
mean_curve,landsat_class_month_nnls,0.16840261473839724,0.14776791336013184,-0.25086288861895273,0.5803221158430786,16,22,0
class_area_nnls,proportion_multioutput_rf,-0.32739908211771707,-0.018234618355465138,-0.7268318005078425,0.029703028315777785,19,19,0
class_area_nnls,landsat_class_month_nnls,-0.11637752070891678,0.1143222882925472,-0.5804430537245449,0.29893637497596587,17,21,0
proportion_multioutput_rf,landsat_class_month_nnls,0.21102156140880024,0.2578178724223925,-0.22658678872584614,0.6139658578071644,16,22,0
