circuit_id,parcel_id,assessment_required,reviewed_side
C33229,9870,True,left
C33229,10726,True,right
C33229,13911,True,right
C33229,21925,True,right
C33229,22781,True,left
C33229,30002,True,left
C33232,728,True,right
C33232,13928,True,right
C33232,22797,True,left
C33232,25964,True,right
C33295,10112,True,left
C33295,11586,True,right
C33295,14167,True,right
C33295,28657,True,left
C33384,508,True,left
C33384,10713,True,right
C33384,10714,True,left
C33384,10717,True,left
C33384,14769,True,right
C33384,14770,True,left
C33384,14771,True,left
C33384,17929,True,right
C33384,17931,True,right
C33384,20362,True,left
C33384,24366,True,right
C33384,24370,True,left
C33384,25931,True,right
C33384,26771,True,right
C33384,30836,True,left
C33539,12856,True,right
C33539,16914,True,right
C33539,24914,True,left
C33539,27326,True,left
C33539,32413,True,left
C33544,9167,True,left
C33544,9168,True,left
C33544,12982,True,right
C33544,12984,True,right
C33544,17025,True,left
C33544,21827,True,left
C33544,21831,True,right
C33544,23417,True,left
C33544,25842,True,right
C33544,27424,True,left
C33544,29906,True,right
C33544,32528,True,right
C33553,8649,True,left
C33553,8650,True,left
C33553,8758,True,left
C33553,8800,True,right
C33553,8838,True,left
C33553,8893,True,left
C33553,13767,True,right
C33553,13774,True,right
C33553,13777,True,left
C33553,15382,True,left
C33553,17789,True,left
C33553,17796,True,right
C33553,20998,True,left
C33553,29041,True,left
C33553,29864,True,left
C33553,30746,True,left
C33553,31443,True,right
C33553,32502,True,left
C33553,35229,True,right
C33553,35230,True,right
C33553,35413,True,right
C33553,35415,True,right
C33553,35416,True,right
C33553,35419,True,right
C33650,15246,True,left
C33650,15249,True,right
C33650,16842,True,left
C33650,16846,True,right
C33650,19257,True,left
C33650,23251,True,right
C33650,23255,True,right
C33650,27256,True,right
C33650,32357,True,right
C33655,7036,True,left
C33655,7037,True,left
C33655,7045,True,right
C33655,11189,True,left
C33655,12773,True,left
C33655,13622,True,left
C33655,14658,True,right
C33655,17650,True,right
C33655,19232,True,left
C33655,22660,True,left
C33655,24824,True,left
C33655,24828,True,right
C33655,27222,True,left
C33655,27223,True,right
C33655,31300,True,right
C33732,8346,True,right
C33732,8360,True,right
C33732,8388,True,right
C33732,8389,True,right
C33732,8429,True,left
C33732,11294,True,right
C33732,15335,True,right
C33732,15345,True,right
C33732,20949,True,right
C33732,20953,True,right
C33732,20968,True,left
C33732,24942,True,right
C33732,24951,True,right
C33732,31391,True,right
C33732,32440,True,right
C33732,32449,True,right
C33742,8948,False,right
C33742,8976,False,right
C33742,35239,True,right
C33742,35256,True,right
C33742,35371,True,left
C33742,35372,True,left
C33742,35373,True,left
C33742,35374,True,left
C33742,35375,True,left
C33742,35376,True,left
C33742,35377,True,left
C33742,35378,True,left
C33742,35418,True,right
C33742,35431,True,right
C33792,7358,False,right
C33792,7360,True,left
C33792,7424,True,left
C33792,16862,True,right
C33792,16867,True,left
C33792,17685,True,left
